Date,Close,High,Low,Open,Volume,Company,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2022-11-07,,,,,,TCS.NS,3094.84619140625,3103.5555345729417,3057.9037998901854,3090.3480542247835,1474498.0,,,,,,,,,,
2012-04-09,,,,,,HDFCBANK.NS,,,,,,,,,,,233.4116668701172,235.44716324768407,232.62878154760122,234.30639295299258,2518370.0
2017-07-05,,,,,,TCS.NS,1041.954833984375,1045.935136830665,1037.090019394465,1044.077683763588,815856.0,,,,,,,,,,
2022-12-22,,,,,,INFY.NS,,,,,,1425.3856201171875,1432.7838046971106,1415.739720826676,1424.8705045396312,6302640.0,,,,,
2020-10-22,959.172607421875,970.8040465640626,951.911514958086,968.482322469,30802210.0,RELIANCE.NS,,,,,,,,,,,,,,,
2011-07-29,,,,,,INFY.NS,,,,,,251.96090698242188,252.55543715338376,247.37715891864295,248.79313748154587,9757592.0,,,,,
2010-09-28,,,,,,HDFCBANK.NS,,,,,,,,,,,217.7352752685547,218.7393641150912,215.15842664535532,216.63345669848684,9432110.0
2011-07-18,,,,,,INFY.NS,,,,,,246.28797912597656,248.99739185283656,245.73885469750428,248.24856163948164,9408656.0,,,,,
2013-11-20,,,,,,HDFCBANK.NS,,,,,,,,,,,295.32501220703125,299.6215637009058,293.892846875941,298.57584907416486,4185048.0
2019-12-23,,,,,,INFY.NS,,,,,,645.7730102539062,646.9136312190676,641.9563026062679,642.3950070969295,4975608.0,,,,,
2012-04-10,,,,,,HDFCBANK.NS,,,,,,,,,,,234.79849243164062,235.3129708754664,230.77222486913263,234.14983783491385,2917036.0
2011-07-14,,,,,,TCS.NS,450.76763916015625,464.76764120283013,448.9223777690661,461.31779617287776,6937844.0,,,,,,,,,,
2010-04-12,,,,,,INFY.NS,,,,,,239.5633087158203,240.89366158194312,236.7909736696731,239.81329211199753,8325648.0,,,,,
2016-07-12,,,,,,INFY.NS,,,,,,470.1673583984375,471.68586713302784,466.7506283785789,471.54601154685196,6197368.0,,,,,
2022-02-10,,,,,,TCS.NS,3565.64453125,3584.0384761709734,3553.964963828453,3584.0384761709734,2112459.0,,,,,,,,,,
2022-04-04,,,,,,INFY.NS,,,,,,1726.02294921875,1735.2354165534855,1716.9022372977697,1732.2562749244316,7364074.0,,,,,
2018-06-22,,,,,,INFY.NS,,,,,,527.3585205078125,530.5915257855137,524.5481289503706,525.3088542822728,4343118.0,,,,,
2010-09-06,195.83547973632812,196.87360193609157,189.59645464934118,191.37463223810468,33928353.0,RELIANCE.NS,,,,,,,,,,,,,,,
2021-03-26,908.0488891601562,916.7212466409155,898.5115898394444,915.9473386351556,20180202.0,RELIANCE.NS,,,,,,,,,,,,,,,
2010-06-02,,,,,,HDFCBANK.NS,,,,,,,,,,,163.6060333251953,164.4624487393094,161.39437453506056,163.16017729042883,9451670.0
2013-03-14,,,,,,HDFCBANK.NS,,,,,,,,,,,292.74334716796875,294.6596494020294,277.4580077516445,286.27302004466344,15957218.0
2014-05-08,,,,,,HDFCBANK.NS,,,,,,,,,,,326.5829162597656,328.7198280224193,325.309871300195,326.0600728792039,3760214.0
2014-12-10,,,,,,HDFCBANK.NS,,,,,,,,,,,427.0531005859375,428.7037133148511,424.2561932588579,424.6229929780581,2782716.0
2022-10-14,,,,,,INFY.NS,,,,,,1365.6959228515625,1383.9916627032283,1359.2113568281873,1375.6543635303174,14990688.0,,,,,
2012-09-18,,,,,,INFY.NS,,,,,,239.61793518066406,241.2947402553789,237.51731209559634,237.7015768838784,7184200.0,,,,,
2023-11-16,1176.357421875,1183.0596501175335,1169.5056766785162,1171.573730950445,13134910.0,RELIANCE.NS,,,,,,,,,,,,,,,
2011-04-27,,,,,,TCS.NS,470.3800964355469,476.0974800028394,468.56729359684414,476.0974800028394,1774478.0,,,,,,,,,,
2020-01-13,693.337158203125,700.074243291335,690.9567250697706,693.9435096526811,18282382.0,RELIANCE.NS,,,,,,,,,,,,,,,
2015-11-03,,,,,,TCS.NS,1089.462646484375,1091.3259695282823,1078.7755717020138,1082.8448065367047,1364906.0,,,,,,,,,,
